,Country,Scale,Base Year,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
,"Bahamas, The",Millions,2012,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,655.33","2,727.10","2,669.34","2,659.87","2,635.38","2,721.90","2,636.44","2,626.06","2,706.98","2,938.10","2,635.28","2,663.34","2,904.01","2,822.04","2,662.62","2,755.41","2,841.17","3,065.93","2,728.97","2,719.32","2,601.36","1,899.84","2,004.01","2,145.02","2,177.38","2,540.03","2,549.37","2,570.26",...,...,...,...,...
,"Belarus, Rep. of",Millions,2018,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"18,411.83","19,752.16","21,626.16","20,789.12","18,034.96","18,893.68","20,707.23","19,857.56","17,395.00","18,637.40","19,993.00","19,510.20","17,473.30","18,982.80","20,594.50","20,397.70","28,137.80","29,586.50","32,726.70","31,868.70","28,527.20","29,752.70","33,255.20","32,553.90","28,570.00","28,852.70","33,290.50","32,541.00","28,991.00","30,645.40","33,675.80","32,948.00","28,860.50","28,178.60","31,840.60",...,...
,Belgium,Millions,2010,"69,898.40","72,050.51","69,496.80","73,885.61","71,118.09","74,148.70","72,288.50","77,884.91","74,341.13","77,237.88","74,508.47","80,333.57","75,928.95","78,504.97","75,155.49","80,201.56","76,282.21","79,720.01","76,695.90","82,380.63","77,437.75","80,303.82","77,249.03","83,358.60","79,669.81","83,226.59","80,370.75","86,450.57","81,659.23","85,203.00","81,912.09","88,599.89","83,670.96","87,062.27","84,040.03","91,209.38","86,867.98","90,550.27","87,274.23","94,012.23","88,569.21","92,203.16","87,614.48","91,922.41","85,487.47","88,256.85","85,876.99","93,406.11","87,697.21","91,438.07","88,248.49","95,756.23","89,754.50","92,988.70","89,575.08","96,974.98","90,689.71","93,846.76","90,209.09","97,277.11","90,549.34","94,319.94","90,684.13","98,177.93","91,887.08","95,554.50","92,153.89","100,035.34","93,681.28","97,945.52","93,879.29","101,874.16","94,888.88","99,210.76","94,954.88","103,233.29","96,922.92","100,849.70","95,982.13","104,886.18","98,383.38","102,492.37","97,679.65","107,232.59","100,437.88","104,680.73","100,130.17","109,633.84","99,565.88","91,400.88","96,829.96","104,841.56","99,401.33","104,581.26","101,501.38","111,238.39","104,542.22","108,757.19","103,402.48","112,901.51",...
,Bosnia and Herzegovina,Millions,2010,...,...,...,...,...,...,...,...,"3,846.87","4,368.35","4,861.62","4,774.85","3,940.09","4,474.21","4,979.44","4,890.56","4,097.32","4,699.66","5,241.94","5,164.60","4,281.25","4,850.81","5,423.77","5,390.31","4,491.39","5,160.72","5,800.46","5,755.23","4,701.23","5,383.91","6,006.08","5,943.09","5,002.92","5,693.63","6,328.21","6,202.48","5,570.59","6,081.05","6,599.93","6,336.59","5,941.96","6,426.76","6,921.57","6,635.91","5,746.28","6,286.50","6,713.28","6,401.20","5,788.92","6,332.47","6,694.59","6,548.98","5,910.93","6,415.14","6,768.62","6,513.64","5,808.07","6,393.88","6,762.82","6,433.10","5,958.68","6,515.01","6,856.89","6,664.11","6,137.63","6,483.89","6,875.86","6,797.25","6,342.43","6,845.78","7,197.19","7,043.78","6,544.98","7,017.79","7,439.97","7,315.75","6,758.54","7,263.80","7,722.31","7,492.53","7,006.99","7,535.71","7,989.56","7,824.41","7,194.78","7,756.01","8,279.71","8,002.23","7,391.06","7,155.65","7,881.35","7,862.96","7,627.21","7,999.89","8,461.26","8,441.67","8,061.29","8,462.74","8,683.79",...,...
,Botswana,Millions,2016,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"30,309.17","29,773.26","32,324.91","32,208.25","31,196.41","32,436.79","34,902.96","33,297.85","33,293.68","33,297.30","36,320.66","33,209.71","23,026.89","28,115.28","31,240.01","34,485.85","30,296.24","32,184.72","33,320.60","32,896.09","34,378.68","33,546.89","35,906.58","33,666.54","35,065.50","33,967.11","33,144.47","35,086.62","36,977.67","38,690.91","37,105.81","39,729.46","38,805.32","40,697.33","41,157.36","40,531.93","39,080.98","39,221.56","36,960.98","38,109.01","40,476.40","40,996.75","40,600.39","42,344.61","41,756.37","42,462.54","43,426.42","43,535.42","43,343.92","44,860.79","44,555.86","45,592.38","45,321.95","46,114.32","46,194.43","46,130.91","45,836.19","33,688.94","44,125.29","44,069.81","46,438.11","46,419.08","48,060.53","46,711.49","49,597.80","48,806.64","50,618.85","49,455.30",...
,Brazil,Millions,1995,"178,513.00","187,904.00","193,932.10","188,256.10","179,883.30","187,151.00","192,737.00","192,336.80","187,799.50","194,596.60","201,534.70","201,179.50","194,325.70","199,123.00","202,464.10","200,109.70","195,252.50","203,699.30","210,916.40","210,460.60","200,459.90","205,290.70","212,237.10","211,699.60","208,233.90","218,240.90","226,157.40","224,844.80","216,947.10","228,007.20","230,940.50","229,680.20","226,230.50","233,213.30","241,316.20","240,693.90","237,982.40","248,459.00","255,482.10","256,675.30","252,636.00","264,201.70","273,316.80","259,314.90","246,506.90","258,381.40","270,139.10","273,121.70","269,207.90","280,389.60","288,798.00","288,660.50","283,193.60","293,569.30","299,013.80","296,073.30","288,028.30","296,465.30","306,445.50","303,424.20","295,865.80","308,388.70","314,900.20","311,097.10","306,130.50","307,046.40","312,888.70","310,386.20","301,173.00","298,632.10","299,550.70","293,254.40","285,698.20","289,020.90","292,199.20","286,622.90","286,503.30","291,296.00","296,993.00","294,008.70","291,962.80","296,009.60","303,103.00","298,573.20","294,587.20","299,466.00","306,459.90","303,658.50","295,822.30","269,141.00","297,191.80","302,558.60","300,893.50","302,555.90","310,360.10","309,010.10","308,196.10","313,705.80","321,468.40","314,917.50",...
,Brunei Darussalam,Millions,2010,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"4,563.45","4,668.35","4,528.06","4,724.40","4,671.29","4,673.61","4,684.41","4,442.58","4,504.50","4,505.05","4,623.32","4,451.31","4,564.64","4,738.26","4,752.64","4,336.90","4,514.29","4,783.32","4,742.10","4,623.10","4,610.52","5,122.80","4,849.15","4,785.36","4,630.77","5,049.73","4,786.94","4,695.44","4,545.63","4,979.75","4,585.97","4,487.31","4,588.16",...,...
,Bulgaria,Millions,2010,"11,138.69","10,783.55","13,811.79","14,206.40","10,104.77","10,139.08","12,873.31","12,630.23","10,323.78","10,988.50","13,237.30","13,296.35","10,678.58","11,363.21","13,777.82","13,855.80","11,254.06","12,069.23","14,589.81","14,679.21","11,882.58","12,697.57","15,147.00","15,619.50","12,457.81","13,615.23","16,320.25","16,556.67","13,446.33","14,719.86","17,242.38","17,701.10","14,133.74","15,771.38","18,442.39","19,055.26","15,073.19","17,121.86","19,396.91","20,296.04","16,226.77","18,309.90","20,737.40","21,020.35","15,850.00","17,924.41","20,184.01","19,782.31","15,321.71","18,451.65","20,345.99","20,758.33","15,624.24","19,165.05","20,899.97","20,761.76","15,964.79","19,114.53","21,041.26","20,907.58","15,679.19","18,735.28","21,023.05","21,158.91","15,673.03","18,958.73","21,118.73","21,586.52","16,233.63","19,500.72","21,892.10","22,361.72","16,768.89","20,203.35","22,342.35","23,105.08","17,234.21","20,762.09","23,052.40","23,647.54","17,702.00","21,303.29","23,724.87","24,239.97","18,604.36","22,226.48","24,537.61","25,113.65","18,446.54","20,245.06","24,034.54","24,174.13","19,127.72","21,675.46","26,093.68","26,637.90","19,967.67","22,519.89","26,853.14",...,...
,Cabo Verde,Millions,2007,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"29,378.57","31,122.43","28,698.03","32,774.69","33,148.69","31,264.18","32,913.89","32,758.86","33,375.99","31,691.27","30,921.92","32,443.79","33,289.34","33,024.65","31,411.71","32,591.11","33,138.22","34,611.05","32,099.54","35,640.13","35,007.38","35,302.97","31,974.31","34,670.17","34,402.81","34,262.37","33,129.67","36,259.44","34,529.56","34,993.76","33,539.87","35,834.91","34,786.67","34,970.66","33,648.98","36,890.30","36,602.18","37,149.70","35,105.35","38,041.45","37,913.61","37,765.73","37,545.32","39,112.26","38,868.48","39,563.17","39,194.66","41,613.25","41,148.09","41,669.19","41,878.62","43,568.95","43,190.22","28,192.12","34,314.68","37,692.57","36,606.06","36,818.78","37,766.42","42,167.41","42,751.66","43,322.49","44,241.76",...,...
,Chile,Millions,2018,"23,040,212.10","23,266,386.00","22,010,464.50","23,018,093.30","22,457,014.40","22,514,996.50","21,856,568.20","24,256,655.20","23,758,655.50","23,830,398.50","22,949,275.40","25,075,318.00","24,563,146.00","24,833,555.60","23,583,476.20","25,649,157.40","24,856,395.20","25,476,221.40","24,580,141.10","26,875,477.00","26,182,108.10","26,787,467.80","25,708,767.60","27,917,599.20","27,416,707.90","28,299,046.60","27,621,571.80","30,373,100.60","29,113,991.00","29,980,705.40","29,202,542.60","32,050,517.50","30,847,157.50","31,879,646.60","30,845,478.70","34,056,501.80","32,552,168.00","33,624,985.90","32,346,286.60","35,701,494.70","34,538,287.20","35,308,486.00","33,495,600.00","35,968,871.90","33,757,949.50","34,311,398.40","33,255,283.00","36,429,062.60","34,410,364.50","36,511,625.40","35,749,411.40","39,143,157.60","37,426,943.50","38,796,098.30","37,359,240.30","41,307,624.50","39,680,434.20","41,316,588.00","39,835,655.90","43,591,229.00","41,321,580.80","42,735,663.50","41,002,549.90","44,804,091.30","42,332,208.50","43,459,588.50","41,541,380.10","45,575,772.50","43,392,768.60","44,343,767.10","42,486,524.80","46,406,790.30","44,671,966.40","44,900,551.70","43,332,366.30","46,821,356.00","44,511,508.10","45,204,894.70","44,140,711.00","48,309,261.50","46,465,233.70","47,664,205.70","45,240,100.10","50,065,327.80","47,106,905.60","48,324,451.20","46,662,257.10","48,749,000.90","47,148,319.20","41,155,094.30","42,145,390.50","48,666,060.90","47,096,204.70","48,844,125.40","49,357,624.60","54,840,394.10","50,613,150.90","51,360,885.40","49,459,581.70","53,588,913.90",...
