,Country,Scale,Base Year,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1
,Australia,Millions,,"142,430.00","148,661.00","151,535.00","162,463.00","151,071.00","156,320.00","159,723.00","170,618.00","162,961.00","168,857.00","173,792.00","181,587.00","173,069.00","178,448.00","182,969.00","195,943.00","184,536.00","192,586.00","196,482.00","208,957.00","194,920.00","202,334.00","207,904.00","225,158.00","210,550.00","220,008.00","224,449.00","239,713.00","224,266.00","236,499.00","243,065.00","260,525.00","241,678.00","253,636.00","262,885.00","281,353.00","264,767.00","279,280.00","284,696.00","304,585.00","284,910.00","304,962.00","315,742.00","330,772.00","302,775.00","311,972.00","313,928.00","334,905.00","314,787.00","340,397.00","345,391.00","365,425.00","341,106.00","366,482.00","372,786.00","388,307.00","358,329.00","380,754.00","379,772.00","396,438.00","369,468.00","390,820.00","392,702.00","415,782.00","386,681.00","403,433.00","401,849.00","421,266.00","391,926.00","408,265.00","410,694.00","427,370.00","397,786.00","421,687.00","423,682.00","456,364.00","429,619.00","449,164.00","451,522.00","471,974.00","446,205.00","472,934.00","475,918.00","500,497.00","470,865.00","499,334.00","502,237.00","521,250.00","486,662.00","469,323.00","486,409.00","530,514.00","511,442.00","552,054.00","542,477.00","585,028.00","565,321.00","615,659.00","613,616.00","656,429.00",...
,Austria,Millions,,"46,417.40","49,303.98","49,557.30","51,067.93","48,099.37","50,867.21","51,625.14","53,258.86","50,660.13","53,226.02","53,588.74","56,131.59","52,479.44","55,282.01","55,193.79","57,569.83","53,691.90","56,905.16","57,213.79","58,924.37","55,391.18","58,012.37","58,254.03","60,204.89","57,007.91","60,126.36","61,252.86","63,961.13","59,436.92","63,511.05","64,068.80","67,058.27","63,094.84","66,380.62","67,499.27","70,849.72","66,697.92","70,832.72","71,132.16","75,315.17","69,990.94","74,452.06","73,807.66","75,511.24","68,570.68","71,443.56","72,195.71","75,834.07","69,190.21","73,490.41","74,453.42","78,762.61","73,518.31","77,337.50","78,092.60","81,180.24","76,233.61","79,368.37","79,558.18","83,492.89","77,118.61","80,679.28","81,143.58","84,968.73","78,975.26","83,235.72","83,365.83","87,569.25","81,812.39","85,599.74","86,296.66","90,560.45","86,018.24","89,349.79","88,843.76","93,396.16","88,273.63","91,933.23","92,062.30","97,092.71","92,929.05","95,423.38","95,349.54","101,572.12","96,141.99","98,611.96","98,832.90","103,582.69","95,127.24","88,533.80","96,845.19","100,536.26","92,140.61","101,311.90","104,260.17","108,435.99","104,271.40","112,706.98","112,296.12","118,378.20",...
,"Azerbaijan, Rep. of",Millions,,...,...,...,...,...,...,...,...,...,...,...,...,"1,087.10","1,306.90","1,516.40","1,405.20","1,238.90","1,386.50","1,742.40","1,694.70","1,453.60","1,741.70","2,030.10","1,921.10","1,682.30","2,093.40","2,352.30","2,402.20","2,371.20","2,846.40","3,707.60","3,597.30","3,468.20","4,132.80","5,790.10","5,355.10","5,801.50","6,795.00","7,590.20","8,173.80","9,035.30","10,356.80","11,011.20","9,733.90","6,964.80","8,431.60","9,922.30","10,282.80","9,629.50","10,771.80","10,672.20","11,391.50","10,751.80","12,326.10","12,721.10","16,283.00","12,964.60","13,090.30","14,235.10","14,453.70","12,917.50","13,919.20","15,466.00","15,879.30","13,117.10","15,292.10","15,870.90","14,734.00","11,538.70","14,192.20","14,118.10","14,531.00","12,817.00","15,186.80","15,764.20","16,657.20","15,475.50","17,422.60","18,037.50","19,402.20","17,466.60","19,417.60","20,265.40","22,942.40","18,195.10","20,214.00","20,170.40","23,316.70","18,043.60","16,813.20","18,103.10","19,618.20","19,393.40","21,820.50","23,571.00","28,418.30","29,676.70","33,712.90","34,804.20","35,632.00",...
,"Bahamas, The",Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"2,973.08","3,042.91","2,897.17","2,948.70","2,979.71","3,028.09","2,924.98","2,901.79","3,057.16","3,359.27","2,973.67","2,967.54","3,349.66","3,250.29","3,004.05","3,151.76","3,375.49","3,662.78","3,067.29","3,087.21","2,915.56","2,247.26","2,189.77","2,346.92","2,425.42","2,879.59","2,975.76","2,927.80",...,...,...,...,...
,"Belarus, Rep. of",Millions,,11.26,14.10,19.10,25.75,39.66,61.44,92.97,108.53,131.93,183.91,277.96,319.58,319.80,393.62,507.44,496.46,492.43,616.32,768.58,736.50,704.71,856.52,"1,057.53","1,037.72",981.65,"1,177.66","1,450.94","1,388.93","1,310.68","1,523.51","1,865.26","1,807.26","1,614.27","1,861.90","2,255.16","2,195.37","1,991.81","2,275.69","2,737.22","2,711.81","2,627.61","3,094.34","3,846.67","3,410.46","2,918.41","3,301.08","4,162.10","3,827.54","3,290.84","3,922.88","5,000.57","4,832.29","4,660.53","6,461.96","8,611.72","10,990.29","10,621.92","13,750.47","14,797.06","15,592.22","13,701.36","16,372.03","18,573.68","18,421.78","16,670.21","19,125.68","22,635.56","22,147.82","19,821.31","21,597.59","24,524.41","23,966.50","21,121.70","23,052.50","25,720.60","25,054.20","22,652.40","25,341.20","28,569.20","29,185.40","26,766.10","29,341.80","33,127.30","33,084.50","29,566.30","32,163.00","36,871.90","36,130.90","33,002.50","34,398.00","40,886.00","41,434.30","37,529.70","41,861.80","47,872.60","49,614.90","43,395.50","43,777.40","52,305.70",...,...
,Belgium,Millions,,"56,688.00","58,805.00","56,822.00","60,309.00","58,150.00","60,722.00","59,219.00","64,215.00","61,774.00","64,522.00","62,471.00","67,609.00","63,929.00","67,113.00","64,389.00","68,904.00","65,846.00","69,024.00","66,615.00","71,770.00","67,859.00","70,879.00","68,400.00","74,063.00","71,340.00","74,658.00","72,502.00","78,320.00","74,301.00","78,056.00","75,474.00","82,206.00","78,167.00","81,604.00","79,178.00","86,202.00","82,909.00","86,740.00","83,630.00","90,340.00","85,776.00","89,999.00","85,932.00","90,035.00","83,524.00","86,426.00","84,648.00","91,875.00","86,559.00","91,498.00","88,635.00","96,448.00","90,847.00","94,533.00","91,288.00","99,300.00","93,770.00","97,361.00","93,638.00","101,406.00","94,778.00","99,134.00","95,256.00","103,712.00","97,159.00","100,995.00","98,215.00","106,635.00","100,109.00","104,882.00","101,419.00","110,292.00","102,431.00","108,919.00","104,750.00","113,985.00","107,700.00","112,517.00","107,476.00","117,357.00","110,299.00","115,958.00","111,067.00","122,727.00","114,604.00","120,062.00","116,268.00","127,711.00","116,031.00","105,644.00","113,945.00","124,206.00","118,204.00","124,635.00","122,848.00","136,625.00","131,538.00","138,463.00","134,479.00","147,966.00",...
,Bosnia and Herzegovina,Millions,,...,...,...,...,...,...,...,...,"2,470.14","2,834.66","3,309.39","3,205.41","2,603.31","3,016.21","3,562.22","3,496.44","2,884.96","3,352.13","3,915.14","3,830.16","3,065.36","3,519.02","4,101.82","4,041.80","3,243.83","3,771.42","4,486.28","4,496.61","3,597.56","4,223.21","4,964.72","4,864.85","4,209.15","4,820.91","5,582.99","5,444.17","4,837.24","5,421.21","6,257.63","6,031.78","5,604.73","6,214.29","7,098.12","6,602.20","5,675.44","6,164.13","6,715.32","6,243.63","5,751.31","6,336.78","6,752.21","6,524.66","6,052.27","6,497.31","7,073.81","6,607.87","5,809.67","6,443.48","7,221.50","6,748.06","6,119.55","6,628.85","7,274.42","6,755.93","6,306.14","6,603.91","7,294.68","7,153.98","6,501.62","7,114.65","7,812.10","7,500.57","6,855.08","7,373.07","8,182.46","7,854.49","7,165.18","7,745.43","8,628.71","8,263.41","7,712.14","8,361.93","9,047.72","8,819.98","8,137.41","8,841.18","9,576.37","9,229.92","8,436.47","8,132.18","9,110.68","9,048.16","8,915.41","9,474.21","10,358.82","10,358.64","10,230.17","11,331.61","11,979.56",...,...
,Botswana,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"13,848.50","12,922.86","15,838.85","15,221.46","15,161.74","14,810.83","18,269.23","16,628.57","17,619.14","16,589.35","19,789.50","19,259.85","16,161.85","18,719.60","18,240.85","19,276.72","19,658.30","20,675.04","22,622.13","22,897.42","24,492.75","25,162.69","26,542.91","27,131.75","26,052.07","27,103.35","26,444.54","26,660.37","27,890.31","31,602.85","29,583.44","30,790.42","32,476.88","36,073.10","34,835.88","35,474.94","34,565.55","34,995.10","35,024.72","32,467.47","38,222.38","41,066.50","42,993.64","42,135.70","40,584.88","41,245.49","42,636.10","42,180.30","41,867.95","43,073.19","44,643.52","44,140.75","44,858.41","45,289.21","45,889.52","43,864.51","45,798.86","36,139.36","43,744.71","45,705.79","48,601.88","51,617.81","53,029.32","54,493.69","58,905.39","64,770.86","63,052.69","65,005.03",...
,Brazil,Millions,,"235,700.70","251,935.90","258,043.30","256,671.20","250,668.00","268,708.90","274,125.60","294,208.00","276,926.90","292,788.60","308,895.80","320,480.80","312,469.80","323,723.60","332,524.40","347,037.60","342,296.70","367,362.80","379,794.50","399,333.20","397,241.60","418,987.30","439,349.80","462,371.60","444,783.50","481,795.00","505,252.30","525,920.40","499,710.40","535,557.40","552,859.20","582,457.60","554,270.50","581,976.90","617,847.70","655,354.90","631,423.00","670,654.70","691,845.90","726,339.30","712,055.20","769,525.20","812,602.60","815,620.10","756,127.10","803,577.50","852,843.20","920,491.50","886,397.40","944,145.00","997,934.70","1,057,369.80","1,016,530.60","1,086,712.20","1,112,334.20","1,160,804.90","1,129,474.20","1,183,125.70","1,230,448.80","1,271,711.30","1,241,613.40","1,322,579.70","1,354,134.10","1,413,291.80","1,385,982.20","1,422,322.90","1,462,125.50","1,508,522.50","1,456,653.70","1,479,965.10","1,508,228.20","1,550,940.10","1,500,319.30","1,559,071.00","1,577,171.60","1,632,766.20","1,585,584.50","1,630,637.60","1,648,630.70","1,720,626.20","1,682,460.50","1,734,453.80","1,767,868.00","1,819,358.80","1,756,054.00","1,825,142.50","1,880,548.40","1,927,386.00","1,873,398.00","1,757,517.50","1,929,702.70","2,048,978.80","2,152,621.80","2,182,048.90","2,254,492.50","2,309,564.30","2,315,708.60","2,471,837.40","2,543,644.70","2,584,125.80",...
,Brunei Darussalam,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"5,216.57","5,217.92","4,655.57","4,526.25","4,321.94","4,274.25","3,940.66","4,029.41","3,763.62","4,014.03","4,098.41","4,345.17","3,978.93","4,325.16","4,398.64","4,587.02","4,501.89","4,813.11","4,550.88","4,759.88","4,248.70","4,815.53","4,561.33","3,968.07","3,969.11","4,065.92","4,237.98","4,663.38","4,687.94","5,232.72","5,024.84","6,286.65","5,772.87",...,...
,Bulgaria,Millions,,"5,563.70","5,885.86","7,385.52","7,624.96","5,067.86","5,555.57","7,155.02","7,264.48","5,766.89","6,409.04","7,849.18","8,099.76","6,430.62","7,162.56","8,669.47","8,724.04","7,133.46","7,969.27","9,434.64","9,531.35","7,597.80","8,520.62","10,190.66","10,328.83","8,553.78","9,645.39","11,487.11","11,515.02","9,663.52","11,074.55","12,995.57","13,283.60","10,709.32","12,555.57","14,989.07","15,354.48","13,043.67","14,769.06","17,544.31","18,137.45","14,896.09","17,508.57","20,276.44","20,165.95","15,472.62","18,196.78","19,592.59","19,919.48","14,929.66","18,089.85","20,337.82","21,520.35","17,331.85","20,350.24","22,229.44","21,212.92","17,021.46","20,544.39","22,550.88","22,529.18","17,369.96","20,063.70","22,013.78","22,794.39","16,925.56","20,255.45","23,363.73","23,605.55","18,280.42","22,281.08","24,172.74","24,865.53","19,700.48","23,020.41","25,936.55","26,733.06","20,975.45","24,920.56","27,971.84","28,872.79","22,173.77","26,879.26","30,486.43","30,424.92","25,280.71","29,848.68","31,972.40","33,294.25","25,743.88","27,983.12","32,844.59","33,981.81","28,383.15","32,333.57","38,167.27","40,128.34","33,733.48","39,261.77","44,958.69",...,...
,Cabo Verde,Millions,,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"29,378.57","31,122.43","28,698.03","32,774.69","33,290.21","31,995.69","34,701.20","34,711.26","35,304.40","33,390.20","32,897.91","34,286.56","35,076.00","34,971.67","33,673.62","34,847.23","35,750.57","37,817.97","35,397.79","38,957.84","37,977.70","38,392.43","35,305.42","38,675.73","38,098.50","37,843.85","37,163.33","40,617.48","38,396.38","38,591.09","37,357.71","40,090.56","39,046.63","39,334.28","38,298.68","42,019.53","41,273.14","41,651.11","39,611.52","43,246.40","43,097.95","42,703.08","42,636.26","44,660.10","44,389.47","45,427.95","45,543.06","48,337.47","47,301.79","48,176.43","48,870.51","50,853.57","50,042.57","32,205.88","39,456.44","43,205.81","41,853.72","42,600.54","44,889.90","51,142.31","51,331.71","52,886.77","55,364.34",...,...
