Facility,Date of Arrangement,Expiration Date,Amount Agreed,Amount Drawn,Amount Outstanding,Country
Standby Arrangement,1990-08-27,1992-05-26,27975,4000,0,"Congo, Republic of"
Standby Arrangement,1986-08-29,1988-04-28,22400,9500,0,"Congo, Republic of"
Standby Arrangement,1979-04-25,1980-04-24,4000,2000,0,"Congo, Republic of"
Standby Arrangement,1977-01-01,1977-12-31,4700,4700,0,"Congo, Republic of"
Standby Arrangement,2009-04-11,2010-07-10,492300,0,0,Costa Rica
Standby Arrangement,1995-11-29,1997-02-28,52000,0,0,Costa Rica
Standby Arrangement,1993-04-19,1994-02-18,21040,0,0,Costa Rica
Standby Arrangement,1991-04-08,1992-09-30,33640,25640,0,Costa Rica
Standby Arrangement,1989-05-23,1990-05-22,42000,0,0,Costa Rica
Standby Arrangement,1987-10-28,1989-03-31,40000,0,0,Costa Rica
Standby Arrangement,1985-03-13,1986-04-30,54000,34000,0,Costa Rica
Standby Arrangement,1982-12-20,1983-12-19,92250,92250,0,Costa Rica
Standby Arrangement,1980-03-12,1981-06-16,60500,15375,0,Costa Rica
Standby Arrangement,1976-07-23,1977-07-22,11600,0,0,Costa Rica
Standby Arrangement,1967-08-17,1968-08-16,15500,2750,0,Costa Rica
Standby Arrangement,1966-03-01,1967-02-28,10000,5500,0,Costa Rica
Standby Arrangement,1965-02-01,1966-01-31,10000,10000,0,Costa Rica
Standby Arrangement,1962-12-24,1963-12-23,11600,10000,0,Costa Rica
Standby Arrangement,1961-10-04,1962-10-03,15000,10000,0,Costa Rica
Standby Arrangement,1991-09-20,1992-09-19,82750,33100,0,Cote d'Ivoire
Standby Arrangement,1989-11-20,1991-04-19,146500,117200,0,Cote d'Ivoire
Standby Arrangement,1988-02-29,1989-04-30,94000,7000,0,Cote d'Ivoire
Standby Arrangement,1986-06-23,1988-02-28,100000,24000,0,Cote d'Ivoire
Standby Arrangement,1985-06-03,1986-06-02,66200,66200,0,Cote d'Ivoire
Standby Arrangement,1984-08-03,1985-05-02,82750,62060,0,Cote d'Ivoire
Standby Arrangement,2004-08-04,2006-11-15,99000,0,0,"Croatia, Republic of"
Standby Arrangement,2003-02-03,2004-04-02,105880,0,0,"Croatia, Republic of"
Standby Arrangement,2001-03-19,2002-05-18,200000,0,0,"Croatia, Republic of"
Standby Arrangement,1994-10-14,1996-04-13,65400,13080,0,"Croatia, Republic of"
Standby Arrangement,1980-07-16,1981-07-15,8500,8500,0,Cyprus
Standby Arrangement,1993-03-17,1994-03-16,177000,70000,0,Czech Republic
Standby Arrangement,1996-04-15,1999-03-31,8250,7272,0,Djibouti
Standby Arrangement,2002-08-28,2004-01-02,3280,2973,0,Dominica
Standby Arrangement,1984-07-18,1985-07-17,1400,970,0,Dominica
Standby Arrangement,2009-11-09,2012-03-08,1094500,766150,0,Dominican Republic
Standby Arrangement,2005-01-31,2008-01-30,437800,437800,0,Dominican Republic
Standby Arrangement,2003-08-29,2005-01-31,437800,131340,0,Dominican Republic
Standby Arrangement,1993-07-09,1994-03-28,31800,16800,0,Dominican Republic
Standby Arrangement,1991-08-28,1993-03-27,39240,39240,0,Dominican Republic
Standby Arrangement,1985-04-15,1986-04-14,78500,78500,0,Dominican Republic
Standby Arrangement,1964-08-01,1965-07-31,25000,20000,0,Dominican Republic
Standby Arrangement,1959-12-22,1960-12-21,11250,9000,0,Dominican Republic
Standby Arrangement,2003-03-21,2004-04-20,151000,60400,0,Ecuador
Standby Arrangement,2000-04-19,2001-12-31,226730,226730,0,Ecuador
Standby Arrangement,1994-05-11,1995-12-11,173900,98900,0,Ecuador
Standby Arrangement,1991-12-11,1992-12-10,75000,18563,0,Ecuador
Standby Arrangement,1989-09-15,1991-02-28,109900,39250,0,Ecuador
Standby Arrangement,1988-01-04,1989-02-28,75350,15070,0,Ecuador
Standby Arrangement,1986-08-15,1987-06-10,75400,15100,0,Ecuador
Standby Arrangement,1985-03-11,1986-03-10,105500,105500,0,Ecuador
Standby Arrangement,1983-07-25,1984-07-24,157500,157500,0,Ecuador
Standby Arrangement,1972-07-03,1973-07-02,16500,16500,0,Ecuador
Standby Arrangement,1970-09-14,1971-09-13,22000,10000,0,Ecuador
Standby Arrangement,1969-04-07,1970-04-06,18000,18000,0,Ecuador
Standby Arrangement,1966-07-15,1967-07-14,13000,5000,0,Ecuador
Standby Arrangement,1965-07-01,1966-06-30,12000,8000,0,Ecuador
Standby Arrangement,1964-07-01,1965-06-30,13000,3000,0,Ecuador
Standby Arrangement,1963-07-01,1964-06-30,6000,0,0,Ecuador
Standby Arrangement,1962-06-08,1963-06-07,5000,3000,0,Ecuador
Standby Arrangement,1961-06-08,1962-06-07,10000,10000,0,Ecuador
Standby Arrangement,2020-06-26,2021-06-25,3763640,3763640,3763640,Egypt
Standby Arrangement,1996-10-11,1998-09-30,271400,0,0,Egypt
Standby Arrangement,1991-05-17,1993-05-31,234400,147200,0,Egypt
Standby Arrangement,1987-05-15,1988-11-30,250000,116000,0,Egypt
Standby Arrangement,1977-04-20,1978-04-19,125000,105000,0,Egypt
Standby Arrangement,1964-05-23,1965-05-22,40000,40000,0,Egypt
Standby Arrangement,1962-05-07,1963-05-06,42500,42500,0,Egypt
Standby Arrangement,2010-03-17,2013-03-16,513900,0,0,El Salvador
Standby Arrangement,2009-01-16,2010-03-16,513900,0,0,El Salvador
Standby Arrangement,1998-09-23,2000-02-22,37680,0,0,El Salvador
Standby Arrangement,1997-02-28,1998-05-30,37680,0,0,El Salvador
Standby Arrangement,1995-07-21,1996-09-20,37680,0,0,El Salvador
Standby Arrangement,1993-05-10,1994-12-31,47110,0,0,El Salvador
Standby Arrangement,1992-01-06,1993-03-05,41500,0,0,El Salvador
Standby Arrangement,1990-08-27,1991-08-26,35600,0,0,El Salvador
Standby Arrangement,1982-07-16,1983-07-15,43000,43000,0,El Salvador
Standby Arrangement,1980-06-23,1981-06-22,10750,10750,0,El Salvador
Standby Arrangement,1972-09-08,1973-09-07,8750,8750,0,El Salvador
Standby Arrangement,1970-12-22,1971-12-21,14000,9000,0,El Salvador
Standby Arrangement,1969-07-15,1970-07-14,17000,6000,0,El Salvador
Standby Arrangement,1967-12-05,1968-12-04,10000,8000,0,El Salvador
Standby Arrangement,1965-10-15,1966-10-14,20000,20000,0,El Salvador
Standby Arrangement,1963-09-13,1964-09-12,5000,0,0,El Salvador
Standby Arrangement,1962-09-13,1963-09-12,11250,0,0,El Salvador
Standby Arrangement,1961-07-13,1962-07-12,11250,8000,0,El Salvador
Standby Arrangement,1960-10-01,1961-03-31,11250,11250,0,El Salvador
Standby Arrangement,1959-10-01,1960-03-31,7500,7500,0,El Salvador
Standby Arrangement,1958-10-01,1959-03-31,7500,0,0,El Salvador
Standby Arrangement,1985-06-28,1986-06-27,9200,5400,0,Equatorial Guinea
Standby Arrangement,1980-07-01,1981-06-30,5500,5500,0,Equatorial Guinea
Standby Arrangement,2000-03-01,2001-08-31,29340,0,0,"Estonia, Republic of"
Standby Arrangement,1997-12-17,1999-03-16,16100,0,0,"Estonia, Republic of"
Standby Arrangement,1996-07-29,1997-08-28,13950,0,0,"Estonia, Republic of"
Standby Arrangement,1995-04-11,1996-07-10,13950,0,0,"Estonia, Republic of"
Standby Arrangement,1993-10-27,1995-03-26,11625,11625,0,"Estonia, Republic of"
Standby Arrangement,1992-09-16,1993-09-15,27900,27900,0,"Estonia, Republic of"
Standby Arrangement,1981-05-08,1982-06-30,67500,67500,0,Ethiopia
Standby Arrangement,1974-11-08,1975-11-07,3250,0,0,Fiji
Standby Arrangement,1975-06-04,1976-06-03,95000,0,0,Finland
Standby Arrangement,1967-03-06,1968-03-05,93750,93750,0,Finland
Standby Arrangement,1952-12-05,1953-06-04,5000,5000,0,Finland
Standby Arrangement,1969-09-19,1970-09-18,985000,985000,0,France
Standby Arrangement,1958-01-31,1959-01-30,131250,131250,0,France
Standby Arrangement,1956-10-17,1957-10-16,262500,262500,0,France
Standby Arrangement,2007-05-07,2010-05-06,77150,0,0,Gabon
Standby Arrangement,2004-05-28,2005-07-31,69440,41664,0,Gabon
Standby Arrangement,2000-10-23,2002-04-22,92580,13220,0,Gabon
Standby Arrangement,1994-03-30,1995-03-29,38600,38600,0,Gabon
Standby Arrangement,1991-09-30,1993-03-29,28000,4000,0,Gabon
Standby Arrangement,1989-09-15,1991-03-14,43000,10500,0,Gabon
Standby Arrangement,1986-12-22,1988-12-31,98685,98685,0,Gabon
Standby Arrangement,1978-05-31,1979-05-30,15000,15000,0,Gabon
Standby Arrangement,1986-09-17,1987-10-16,5130,5130,0,"Gambia, The"
Standby Arrangement,1984-04-23,1985-04-22,12830,2630,0,"Gambia, The"
Standby Arrangement,1982-02-22,1983-02-21,16900,16900,0,"Gambia, The"
Standby Arrangement,1979-11-02,1980-11-01,1600,1600,0,"Gambia, The"
Standby Arrangement,1977-05-18,1978-05-17,2530,2530,0,"Gambia, The"
Standby Arrangement,2022-06-15,2025-06-14,210400,0,0,Georgia
Standby Arrangement,2014-07-30,2017-04-11,100000,80000,0,Georgia
Standby Arrangement,2012-04-11,2014-04-10,125000,0,0,Georgia
Standby Arrangement,2008-09-15,2011-06-14,747100,577100,0,Georgia
Standby Arrangement,1995-06-28,1996-02-28,72150,22200,0,Georgia
Standby Arrangement,1986-10-15,1987-10-14,81800,81800,0,Ghana
Standby Arrangement,1984-08-27,1985-12-31,180000,180000,0,Ghana
Standby Arrangement,1983-08-03,1984-08-02,238500,238500,0,Ghana
Standby Arrangement,1979-01-10,1980-01-09,53000,32000,0,Ghana
Standby Arrangement,1969-05-29,1970-05-28,5000,5000,0,Ghana
Standby Arrangement,1968-05-28,1969-05-27,12000,12000,0,Ghana
Standby Arrangement,1967-05-25,1968-05-24,25000,25000,0,Ghana
Standby Arrangement,1966-05-17,1967-05-16,36400,31400,0,Ghana
Standby Arrangement,2010-05-09,2012-03-14,26432900,17541800,0,Greece
Standby Arrangement,1981-05-11,1982-05-10,3425,2900,0,Grenada
Standby Arrangement,1979-11-06,1980-12-31,651,651,0,Grenada
Standby Arrangement,1976-06-30,1976-12-31,225,225,0,Grenada
Standby Arrangement,1975-09-29,1976-06-30,500,500,0,Grenada
Standby Arrangement,2009-04-22,2010-10-21,630600,0,0,Guatemala
Standby Arrangement,2003-06-18,2004-03-15,84000,0,0,Guatemala
Standby Arrangement,2002-04-01,2003-03-31,84000,0,0,Guatemala
Standby Arrangement,1992-12-18,1994-03-17,54000,0,0,Guatemala
Standby Arrangement,1988-10-26,1990-02-28,54000,23160,0,Guatemala
Standby Arrangement,1983-08-31,1984-12-31,114750,57375,0,Guatemala
Standby Arrangement,1981-11-13,1982-11-12,19100,19100,0,Guatemala
Standby Arrangement,1972-03-29,1973-03-28,9000,0,0,Guatemala
Standby Arrangement,1970-12-28,1971-12-27,14000,0,0,Guatemala
Standby Arrangement,1969-08-01,1970-07-31,12000,6000,0,Guatemala
Standby Arrangement,1968-04-16,1969-04-15,10000,3000,0,Guatemala
Standby Arrangement,1967-04-01,1968-03-31,13400,10000,0,Guatemala
Standby Arrangement,1966-01-01,1966-12-31,15000,7000,0,Guatemala
Standby Arrangement,1961-08-14,1962-08-13,15000,5000,0,Guatemala
Standby Arrangement,1960-06-06,1961-06-05,15000,0,0,Guatemala
Standby Arrangement,1987-07-29,1988-08-28,11600,0,0,Guinea
Standby Arrangement,1986-02-03,1987-04-02,27000,21000,0,Guinea
Standby Arrangement,1982-12-01,1983-11-30,25000,11500,0,Guinea
Standby Arrangement,1990-07-13,1991-12-31,49500,49500,0,Guyana
Standby Arrangement,1978-08-15,1979-06-24,6250,6250,0,Guyana
Standby Arrangement,1976-06-18,1977-06-17,7250,7250,0,Guyana
Standby Arrangement,1975-06-18,1976-06-17,5000,0,0,Guyana
Standby Arrangement,1974-05-15,1975-05-14,5000,0,0,Guyana
Standby Arrangement,1973-05-15,1974-05-14,4000,4000,0,Guyana
Standby Arrangement,1972-05-15,1973-05-14,2800,0,0,Guyana
Standby Arrangement,1971-05-03,1972-05-02,4000,2190,0,Guyana
Standby Arrangement,1970-04-06,1971-04-05,3000,0,0,Guyana
Standby Arrangement,1969-03-29,1970-03-28,4000,0,0,Guyana
Standby Arrangement,1968-02-15,1969-02-14,4000,0,0,Guyana
Standby Arrangement,1967-02-15,1968-02-14,7500,0,0,Guyana
Standby Arrangement,1995-03-08,1996-03-07,20000,16400,0,Haiti
Standby Arrangement,1989-09-18,1990-12-31,21000,15000,0,Haiti
Standby Arrangement,1983-11-07,1985-09-30,60000,21000,0,Haiti
Standby Arrangement,1982-08-09,1983-09-30,34500,34500,0,Haiti
Standby Arrangement,1977-08-02,1978-08-01,6900,0,0,Haiti
Standby Arrangement,1976-08-02,1977-08-01,6880,3000,0,Haiti
Standby Arrangement,1975-08-01,1976-07-31,4750,3250,0,Haiti
Standby Arrangement,1974-08-01,1975-07-31,4000,4000,0,Haiti
Standby Arrangement,1973-07-06,1974-07-05,4000,0,0,Haiti
Standby Arrangement,1972-07-06,1973-07-05,4000,0,0,Haiti
Standby Arrangement,1971-06-29,1972-06-28,3000,0,0,Haiti
Standby Arrangement,1970-06-29,1971-06-28,2200,0,0,Haiti
Standby Arrangement,1966-10-01,1967-09-30,4000,1500,0,Haiti
Standby Arrangement,1965-10-01,1966-09-30,4000,4000,0,Haiti
Standby Arrangement,1964-10-01,1965-09-30,4000,2250,0,Haiti
Standby Arrangement,1963-10-01,1964-09-30,4000,3000,0,Haiti
Standby Arrangement,1962-10-01,1963-09-30,6000,4000,0,Haiti
Standby Arrangement,1961-10-01,1962-09-30,6000,3750,0,Haiti
Standby Arrangement,1960-10-01,1961-09-30,6000,0,0,Haiti
Standby Arrangement,1959-10-01,1960-09-30,4000,0,0,Haiti
Standby Arrangement,1958-07-14,1959-09-30,5000,3500,0,Haiti
Standby Arrangement,2019-07-15,2022-01-14,358047,281442,281442,Honduras
Standby Arrangement,2014-12-03,2017-12-02,77700,0,0,Honduras
Standby Arrangement,2010-10-01,2012-03-31,64750,0,0,Honduras
Standby Arrangement,2008-04-07,2009-03-30,38850,0,0,Honduras
Standby Arrangement,1990-07-27,1992-02-17,30500,30500,0,Honduras
Standby Arrangement,1982-11-05,1983-12-31,76500,61200,0,Honduras
Standby Arrangement,1972-06-07,1973-06-06,15000,0,0,Honduras
Standby Arrangement,1971-06-01,1972-05-31,15000,0,0,Honduras
Standby Arrangement,1969-02-01,1970-04-30,11000,0,0,Honduras
Standby Arrangement,1968-01-01,1968-12-31,11000,0,0,Honduras
Standby Arrangement,1966-01-01,1966-12-31,10000,2500,0,Honduras
Standby Arrangement,1964-08-05,1965-08-04,7500,2500,0,Honduras
Standby Arrangement,1963-07-18,1964-07-17,7500,5000,0,Honduras
Standby Arrangement,1962-06-29,1963-06-28,7500,3750,0,Honduras
Standby Arrangement,1961-05-01,1962-04-30,7500,3750,0,Honduras
Standby Arrangement,1960-03-07,1961-03-06,7500,5000,0,Honduras
Standby Arrangement,1959-01-29,1960-01-28,4500,3750,0,Honduras
Standby Arrangement,1957-11-12,1958-05-11,3750,3750,0,Honduras
Standby Arrangement,2008-11-06,2010-10-05,10537500,7637000,0,Hungary
Standby Arrangement,1996-03-15,1998-02-14,264180,0,0,Hungary
Standby Arrangement,1993-09-15,1994-12-14,340000,56700,0,Hungary
Standby Arrangement,1990-03-14,1991-02-20,159210,127370,0,Hungary
Standby Arrangement,1988-05-16,1989-06-30,265350,215350,0,Hungary
Standby Arrangement,1984-01-13,1985-01-12,425000,425000,0,Hungary
Standby Arrangement,1982-12-08,1984-01-07,475000,475000,0,Hungary
Standby Arrangement,2008-11-19,2011-08-31,1400000,1400000,0,Iceland
Standby Arrangement,1962-03-22,1963-03-21,1625,0,0,Iceland
Standby Arrangement,1961-02-16,1961-12-31,1625,0,0,Iceland
Standby Arrangement,1960-02-23,1961-01-13,5625,4000,0,Iceland
Standby Arrangement,1991-10-31,1993-06-30,1656000,1656000,0,India
Standby Arrangement,1991-01-18,1991-04-17,551925,551925,0,India
Standby Arrangement,1965-03-22,1966-03-21,200000,200000,0,India
Standby Arrangement,1963-07-09,1964-07-08,100000,0,0,India
Standby Arrangement,1962-07-09,1963-07-08,100000,25000,0,India
Standby Arrangement,1957-03-11,1958-03-10,72500,72500,0,India
Standby Arrangement,1997-11-05,1998-08-25,8338240,3669120,0,Indonesia
Standby Arrangement,1973-05-04,1974-05-03,50000,0,0,Indonesia
Standby Arrangement,1972-04-17,1973-04-16,50000,0,0,Indonesia
Standby Arrangement,1971-04-22,1972-04-21,50000,0,0,Indonesia
Standby Arrangement,1970-04-17,1971-04-16,46300,38000,0,Indonesia
Standby Arrangement,1969-04-04,1970-04-03,70000,59000,0,Indonesia
Standby Arrangement,1968-02-19,1969-02-18,51750,51750,0,Indonesia
Standby Arrangement,1963-08-01,1964-07-31,50000,20000,0,Indonesia
Standby Arrangement,1961-08-16,1962-08-15,41250,41250,0,Indonesia
Standby Arrangement,1960-10-10,1962-03-20,35000,22500,0,"Iran, Islamic Republic of"
Standby Arrangement,1956-05-18,1956-11-17,17500,17500,0,"Iran, Islamic Republic of"
Standby Arrangement,2016-07-07,2019-07-06,3831000,1494200,0,Iraq
Standby Arrangement,2010-02-24,2013-02-23,2376800,1069560,0,Iraq
Standby Arrangement,2007-12-19,2009-03-18,475360,0,0,Iraq
Standby Arrangement,2005-12-23,2007-12-18,475360,0,0,Iraq
Standby Arrangement,1976-10-20,1977-10-19,29250,12000,0,Israel
Standby Arrangement,1975-02-14,1976-02-13,32500,32500,0,Israel
Standby Arrangement,1974-11-08,1975-02-14,32500,32500,0,Israel
Standby Arrangement,1977-04-25,1978-12-31,450000,90000,0,Italy
Standby Arrangement,1974-04-10,1975-04-09,1000000,1000000,0,Italy
Standby Arrangement,2016-11-11,2019-11-10,1195300,0,0,Jamaica
Standby Arrangement,2010-02-04,2012-05-03,820500,541800,0,Jamaica
Standby Arrangement,1991-06-28,1992-09-30,43650,43650,0,Jamaica
Standby Arrangement,1990-03-23,1991-05-31,82000,82000,0,Jamaica
Standby Arrangement,1988-09-19,1990-03-23,82000,41100,0,Jamaica
Standby Arrangement,1987-03-02,1988-05-31,85000,85000,0,Jamaica
Standby Arrangement,1985-07-17,1986-07-16,115000,41600,0,Jamaica
Standby Arrangement,1984-06-22,1985-06-21,64000,64000,0,Jamaica
Standby Arrangement,1977-08-11,1978-06-09,64000,19200,0,Jamaica
Standby Arrangement,1973-06-01,1974-05-31,26500,13250,0,Jamaica
Standby Arrangement,1963-06-13,1964-06-12,10000,0,0,Jamaica
Standby Arrangement,1964-03-11,1965-03-10,305000,0,0,Japan
Standby Arrangement,1962-01-19,1963-01-18,305000,0,0,Japan
Standby Arrangement,2012-08-03,2015-08-02,1364000,1364000,0,Jordan
Standby Arrangement,2002-07-03,2004-07-02,85280,10660,0,Jordan
Standby Arrangement,1992-02-26,1994-02-25,44400,44400,0,Jordan
Standby Arrangement,1989-07-14,1991-01-13,60000,26800,0,Jordan
Standby Arrangement,1995-06-05,1996-06-04,185600,185600,0,"Kazakhstan, Republic of"
Standby Arrangement,1994-01-26,1995-05-31,123750,74250,0,"Kazakhstan, Republic of"
Standby Arrangement,2016-03-14,2018-09-14,709259,0,0,Kenya
Standby Arrangement,2015-02-02,2016-03-14,352820,0,0,Kenya
Standby Arrangement,1988-02-01,1989-05-15,85000,62600,0,Kenya
Standby Arrangement,1985-02-08,1986-02-07,85200,85200,0,Kenya
Standby Arrangement,1983-03-21,1984-09-20,175950,175950,0,Kenya
Standby Arrangement,1982-01-08,1983-01-07,151500,90000,0,Kenya
Standby Arrangement,1980-10-15,1982-01-07,241500,90000,0,Kenya
Standby Arrangement,1979-08-20,1980-10-14,122475,0,0,Kenya
Standby Arrangement,1978-11-13,1979-08-19,17250,17250,0,Kenya
Standby Arrangement,1985-07-12,1987-03-10,280000,160000,0,Korea
Standby Arrangement,1983-07-08,1985-03-31,575775,575775,0,Korea
Standby Arrangement,1981-02-13,1982-02-12,576000,576000,0,Korea
Standby Arrangement,1980-03-03,1981-02-12,640000,320000,0,Korea
Standby Arrangement,1977-05-06,1977-12-31,20000,0,0,Korea
Standby Arrangement,1975-10-22,1976-06-30,20000,9000,0,Korea
Standby Arrangement,1974-05-17,1974-12-31,20000,20000,0,Korea
Standby Arrangement,1973-04-02,1973-12-31,20000,0,0,Korea
Standby Arrangement,1972-01-01,1972-12-31,30000,0,0,Korea
Standby Arrangement,1971-01-01,1971-12-31,25000,0,0,Korea
Standby Arrangement,1970-03-13,1970-12-31,25000,0,0,Korea
Standby Arrangement,1969-04-15,1969-12-31,25000,0,0,Korea
Standby Arrangement,1968-04-11,1969-04-10,25000,12500,0,Korea
Standby Arrangement,1967-03-22,1968-03-21,18000,0,0,Korea
Standby Arrangement,1966-03-22,1967-03-21,12000,0,0,Korea
Standby Arrangement,1965-03-22,1966-03-21,9300,0,0,Korea
Standby Arrangement,2015-07-29,2017-08-04,147500,135400,0,Kosovo
Standby Arrangement,2012-04-27,2013-12-26,90968,78216,0,Kosovo
Standby Arrangement,2010-07-21,2012-01-20,92656,18760,0,Kosovo
Standby Arrangement,1993-05-12,1994-04-11,27090,11610,0,Kyrgyz Republic
Standby Arrangement,1980-08-04,1981-08-03,14000,14000,0,Lao People's Democratic Republic
Standby Arrangement,2008-12-23,2011-12-22,1521626,982240,0,"Latvia, Republic of"
Standby Arrangement,2001-04-20,2002-12-19,33000,0,0,"Latvia, Republic of"
Standby Arrangement,1999-12-10,2001-04-09,33000,0,0,"Latvia, Republic of"
Standby Arrangement,1997-10-10,1999-04-09,33000,0,0,"Latvia, Republic of"
Standby Arrangement,1996-05-24,1997-08-23,30000,0,0,"Latvia, Republic of"
Standby Arrangement,1995-04-21,1996-05-20,27450,0,0,"Latvia, Republic of"
Standby Arrangement,1993-12-15,1995-03-14,22875,9150,0,"Latvia, Republic of"
Standby Arrangement,1992-09-14,1993-09-13,54900,54900,0,"Latvia, Republic of"
Standby Arrangement,1996-09-23,1997-09-22,7170,0,0,Lesotho
Standby Arrangement,1995-07-31,1996-07-30,7170,0,0,Lesotho
Standby Arrangement,1994-09-23,1995-07-31,8365,0,0,Lesotho
Standby Arrangement,1984-12-07,1985-12-06,42780,8500,0,Liberia
Standby Arrangement,1983-09-14,1984-09-13,55000,55000,0,Liberia
Standby Arrangement,1982-09-29,1983-09-13,55000,35000,0,Liberia
Standby Arrangement,1981-08-26,1982-09-15,55000,55000,0,Liberia
Standby Arrangement,1980-09-15,1981-08-25,65000,32000,0,Liberia
Standby Arrangement,1979-03-21,1980-03-20,9250,9250,0,Liberia
Standby Arrangement,1976-01-14,1977-01-13,5000,0,0,Liberia
Standby Arrangement,1974-08-14,1975-08-13,4000,0,0,Liberia
Standby Arrangement,1973-05-17,1974-05-16,4000,0,0,Liberia
Standby Arrangement,1972-03-01,1973-02-28,4000,1480,0,Liberia
Standby Arrangement,1970-06-01,1971-05-31,2000,2000,0,Liberia
Standby Arrangement,1969-06-01,1970-05-31,2000,1000,0,Liberia
Standby Arrangement,1968-06-01,1969-05-31,3200,3200,0,Liberia
Standby Arrangement,1967-06-01,1968-05-31,4400,4400,0,Liberia
Standby Arrangement,1966-06-01,1967-05-31,6000,5350,0,Liberia
Standby Arrangement,1965-06-01,1966-05-31,4000,3000,0,Liberia
Standby Arrangement,1964-06-01,1965-05-31,4400,3300,0,Liberia
Standby Arrangement,1963-06-01,1964-05-31,5700,4100,0,Liberia
Standby Arrangement,2001-08-30,2003-03-29,86520,0,0,"Lithuania, Republic of"
Standby Arrangement,2000-03-08,2001-06-07,61800,0,0,"Lithuania, Republic of"
Standby Arrangement,1993-10-22,1994-10-24,25875,5175,0,"Lithuania, Republic of"
Standby Arrangement,1992-10-21,1993-09-20,56925,56925,0,"Lithuania, Republic of"
Standby Arrangement,1988-09-02,1989-05-15,13300,2800,0,Madagascar
Standby Arrangement,1986-09-17,1988-03-16,30000,30000,0,Madagascar
Standby Arrangement,1985-04-23,1986-04-22,29500,29500,0,Madagascar
Standby Arrangement,1984-04-10,1985-03-31,33000,33000,0,Madagascar
Standby Arrangement,1982-07-09,1983-07-08,51000,40800,0,Madagascar
Standby Arrangement,1981-04-13,1982-06-26,109000,39000,0,Madagascar
Standby Arrangement,1980-06-27,1981-04-12,64450,10000,0,Madagascar
Standby Arrangement,1977-12-21,1978-12-20,9425,9425,0,Madagascar
Standby Arrangement,1994-11-16,1995-06-30,15000,12725,0,Malawi
Standby Arrangement,1988-03-02,1989-05-30,13020,9250,0,Malawi
Standby Arrangement,1982-08-06,1983-08-05,22000,22000,0,Malawi
Standby Arrangement,1980-05-09,1982-03-31,49875,40000,0,Malawi
Standby Arrangement,1979-10-31,1980-05-09,26344,5444,0,Malawi
Standby Arrangement,2009-12-04,2012-12-03,49200,8200,0,Maldives
Standby Arrangement,1988-08-05,1990-06-04,12700,12700,0,Mali
Standby Arrangement,1985-11-08,1987-03-31,22860,16300,0,Mali
Standby Arrangement,1983-12-09,1985-05-31,40500,40500,0,Mali
Standby Arrangement,1982-05-21,1983-05-20,30375,30375,0,Mali
Standby Arrangement,1971-07-29,1972-07-28,4500,4500,0,Mali
Standby Arrangement,1969-10-23,1970-10-22,3000,3000,0,Mali
Standby Arrangement,1968-08-12,1969-08-11,5000,5000,0,Mali
Standby Arrangement,1967-08-21,1968-08-12,6500,3000,0,Mali
Standby Arrangement,1964-07-01,1965-06-30,9900,9900,0,Mali
Standby Arrangement,1987-05-04,1988-05-03,10000,10000,0,Mauritania
Standby Arrangement,1986-04-26,1987-04-25,12000,12000,0,Mauritania
Standby Arrangement,1985-04-12,1986-04-25,12000,12000,0,Mauritania
Standby Arrangement,1981-06-01,1982-03-31,25800,25800,0,Mauritania
Standby Arrangement,1980-07-23,1981-05-31,29700,8900,0,Mauritania
Standby Arrangement,1977-05-25,1978-05-24,4710,4710,0,Mauritania
Standby Arrangement,1985-03-01,1986-08-31,49000,49000,0,Mauritius
Standby Arrangement,1983-05-18,1984-08-17,49500,49500,0,Mauritius
Standby Arrangement,1981-12-21,1982-12-20,30000,30000,0,Mauritius
Standby Arrangement,1980-09-05,1981-09-04,35000,35000,0,Mauritius
Standby Arrangement,1979-10-31,1980-09-04,73025,40000,0,Mauritius
Standby Arrangement,1978-02-24,1979-02-23,7970,7970,0,Mauritius
Standby Arrangement,1999-07-07,2000-11-30,3103000,1939500,0,Mexico
Standby Arrangement,1995-02-01,1997-02-15,12070200,8758020,0,Mexico
Standby Arrangement,1986-11-19,1988-04-01,1400000,1400000,0,Mexico
Standby Arrangement,1961-07-13,1962-07-12,90000,45000,0,Mexico
Standby Arrangement,1959-03-05,1959-09-04,90000,22500,0,Mexico
Standby Arrangement,1954-04-16,1955-10-15,50000,22500,0,Mexico
Standby Arrangement,1995-03-22,1996-03-21,58500,32400,0,"Moldova, Republic of"
Standby Arrangement,1993-12-17,1995-03-16,51750,51750,0,"Moldova, Republic of"
Standby Arrangement,2009-04-01,2010-10-01,153300,122640,0,Mongolia
Standby Arrangement,1991-10-04,1992-12-31,22500,13750,0,Mongolia
Standby Arrangement,1992-01-31,1993-03-31,91980,18396,0,Morocco
Standby Arrangement,1990-07-20,1991-03-31,100000,48000,0,Morocco
Standby Arrangement,1988-08-30,1989-12-31,210000,210000,0,Morocco
Standby Arrangement,1986-12-16,1988-04-30,230000,230000,0,Morocco
Standby Arrangement,1985-09-12,1986-12-15,200000,10000,0,Morocco
Standby Arrangement,1983-09-16,1985-03-15,300000,300000,0,Morocco
Standby Arrangement,1982-04-26,1983-04-25,281250,281250,0,Morocco
Standby Arrangement,1971-03-18,1972-03-17,30000,8250,0,Morocco
Standby Arrangement,1969-12-15,1970-12-14,25000,10000,0,Morocco
Standby Arrangement,1968-10-27,1969-10-26,27000,10000,0,Morocco
